country_year;LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags;year_min1;Value_min1
Turkey1988Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1988;1988;PC;Percentage;0;Units;;;1.010171;;;1987;9.351028
Turkey1989Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1989;1989;PC;Percentage;0;Units;;;-3.819745;;;1988;1.010171
Turkey1990Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1990;1990;PC;Percentage;0;Units;;;7.499425;;;1989;-3.819745
Turkey1991Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1991;1991;PC;Percentage;0;Units;;;-3.106479;;;1990;7.499425
Turkey1992Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1992;1992;PC;Percentage;0;Units;;;3.575516;;;1991;-3.106479
Turkey1993Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1993;1993;PC;Percentage;0;Units;;;12.316833;;;1992;3.575516
Turkey1994Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1994;1994;PC;Percentage;0;Units;;;-10.959294;;;1993;12.316833
Turkey1995Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1995;1995;PC;Percentage;0;Units;;;4.798439;;;1994;-10.959294
Turkey1996Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1996;1996;PC;Percentage;0;Units;;;3.126822;;;1995;4.798439
Turkey1997Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1997;1997;PC;Percentage;0;Units;;;8.275499;;;1996;3.126822
Turkey1998Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1998;1998;PC;Percentage;0;Units;;;0.115928;;;1997;8.275499
Turkey1999Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1999;1999;PC;Percentage;0;Units;;;-6.575015;;;1998;0.115928
Turkey2000Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2000;2000;PC;Percentage;0;Units;;;8.220812;;;1999;-6.575015
Turkey2001Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2001;2001;PC;Percentage;0;Units;;;-6.172571;;;2000;8.220812
Turkey2002Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2002;2002;PC;Percentage;0;Units;;;6.700435;;;2001;-6.172571
Turkey2003Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2003;2003;PC;Percentage;0;Units;;;6.443466;;;2002;6.700435
Turkey2004Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2004;2004;PC;Percentage;0;Units;;;8.987855;;;2003;6.443466
Turkey2005Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2005;2005;PC;Percentage;0;Units;;;5.712168;;;2004;8.987855
Turkey2006Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2006;2006;PC;Percentage;0;Units;;;4.858724;;;2005;5.712168
Turkey2007Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2007;2007;PC;Percentage;0;Units;;;5.300473;;;2006;4.858724
Turkey2008Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2008;2008;PC;Percentage;0;Units;;;-0.301991;;;2007;5.300473
Turkey2009Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2009;2009;PC;Percentage;0;Units;;;-4.004905;;;2008;-0.301991
Turkey2010Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2010;2010;PC;Percentage;0;Units;;;2.576706;;;2009;-4.004905
Turkey2011Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2011;2011;PC;Percentage;0;Units;;;5.404026;;;2010;2.576706
Turkey2012Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2012;2012;PC;Percentage;0;Units;;;2.104521;;;2011;5.404026
Turkey2013Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2013;2013;PC;Percentage;0;Units;;;6.759932;;;2012;2.104521
Turkey2014Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2014;2014;PC;Percentage;0;Units;;;0.027709;E;Estimated value;2013;6.759932
Turkey2015Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2015;2015;PC;Percentage;0;Units;;;3.22027;E;Estimated value;2014;0.027709
Turkey2016Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2016;2016;PC;Percentage;0;Units;;;0.98427;E;Estimated value;2015;3.22027
Turkey2017Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2017;2017;PC;Percentage;0;Units;;;3.727158;E;Estimated value;2016;0.98427
Israel1971Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1971;1971;PC;Percentage;0;Units;;;7.490096;;;1970;#N/A
Israel1972Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1972;1972;PC;Percentage;0;Units;;;8.561291;;;1971;7.490096
Israel1973Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1973;1973;PC;Percentage;0;Units;;;2.235055;;;1972;8.561291
Israel1974Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1974;1974;PC;Percentage;0;Units;;;3.613151;;;1973;2.235055
Israel1975Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1975;1975;PC;Percentage;0;Units;;;1.13499;;;1974;3.613151
Israel1976Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1976;1976;PC;Percentage;0;Units;;;-1.710914;;;1975;1.13499
Israel1977Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1977;1977;PC;Percentage;0;Units;;;-1.053747;;;1976;-1.710914
Israel1978Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1978;1978;PC;Percentage;0;Units;;;3.371056;;;1977;-1.053747
Israel1979Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1979;1979;PC;Percentage;0;Units;;;3.77463;;;1978;3.371056
Israel1980Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1980;1980;PC;Percentage;0;Units;;;-0.614419;;;1979;3.77463
Israel1981Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1981;1981;PC;Percentage;0;Units;;;3.570146;;;1980;-0.614419
Israel1982Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1982;1982;PC;Percentage;0;Units;;;0.572251;;;1981;3.570146
Israel1983Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1983;1983;PC;Percentage;0;Units;;;1.556861;;;1982;0.572251
Israel1984Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1984;1984;PC;Percentage;0;Units;;;-0.845505;;;1983;1.556861
Israel1985Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1985;1985;PC;Percentage;0;Units;;;2.217962;;;1984;-0.845505
Israel1986Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1986;1986;PC;Percentage;0;Units;;;2.397811;;;1985;2.217962
Israel1987Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1987;1987;PC;Percentage;0;Units;;;5.340791;;;1986;2.397811
Israel1988Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1988;1988;PC;Percentage;0;Units;;;1.187673;;;1987;5.340791
Israel1989Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1989;1989;PC;Percentage;0;Units;;;-1.117962;;;1988;1.187673
Israel1990Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1990;1990;PC;Percentage;0;Units;;;4.380249;;;1989;-1.117962
Israel1991Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1991;1991;PC;Percentage;0;Units;;;3.732609;;;1990;4.380249
Israel1992Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1992;1992;PC;Percentage;0;Units;;;3.872864;;;1991;3.732609
Israel1993Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1993;1993;PC;Percentage;0;Units;;;0.448304;;;1992;3.872864
Israel1994Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1994;1994;PC;Percentage;0;Units;;;3.735825;;;1993;0.448304
Israel1995Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1995;1995;PC;Percentage;0;Units;;;3.042456;;;1994;3.735825
Israel1996Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1996;1996;PC;Percentage;0;Units;;;2.418304;;;1995;3.042456
Israel1997Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1997;1997;PC;Percentage;0;Units;;;1.456803;;;1996;2.418304
Israel1998Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1998;1998;PC;Percentage;0;Units;;;1.665037;;;1997;1.456803
Israel1999Annual growth/changeGDP per capita, constant prices ;ISR;Israel;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1999;1999;PC;Percentage;0;Units;;;0.878944;;;1998;1.665037
